FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr
EZ5SYSC6NL75,Foreign_Exchange Forward DKK SEK 20210116,JFTXFP,false,SEK,false
EZ5SYSC6NL75,Foreign_Exchange Forward DKK SEK 20210116,JFTXFP,false,SEK,false
EZ5V5CP0M821,Foreign_Exchange Forward BHD EUR 20210116,JFTXFP,false,EUR,false
EZ5V5CP0M821,Foreign_Exchange Forward BHD EUR 20210116,JFTXFP,false,EUR,false
EZ5Y8932Z896,Foreign_Exchange Forward EUR SGD 20210116,JFTXFP,false,EUR,false
EZ5Y8932Z896,Foreign_Exchange Forward EUR SGD 20210116,JFTXFP,false,EUR,false
EZ5ZJPNDZ7W6,Foreign_Exchange Forward JPY TRY 20210116,JFTXFP,false,TRY,false
EZ5ZJPNDZ7W6,Foreign_Exchange Forward JPY TRY 20210116,JFTXFP,false,TRY,false
EZ68SVSSD468,Foreign_Exchange Forward AUD CHF 20210116,JFTXFP,false,AUD,false
EZ68SVSSD468,Foreign_Exchange Forward AUD CHF 20210116,JFTXFP,false,AUD,false
EZ69D2VLWX38,Foreign_Exchange Forward CAD JPY 20210116,JFTXFP,false,CAD,false
EZ69D2VLWX38,Foreign_Exchange Forward CAD JPY 20210116,JFTXFP,false,CAD,false
EZ6D6V5ZWQ87,Foreign_Exchange Forward SEK USD 20210116,JFTXFP,false,SEK,false
EZ6D6V5ZWQ87,Foreign_Exchange Forward SEK USD 20210116,JFTXFP,false,SEK,false
EZ6K94MTLKG4,Foreign_Exchange Forward AUD GBP 20210116,JFTXFP,false,GBP,false
EZ6K94MTLKG4,Foreign_Exchange Forward AUD GBP 20210116,JFTXFP,false,GBP,false
EZ6L24VNZFT6,Foreign_Exchange Forward AUD NZD 20210116,JFTXFP,false,AUD,false
EZ6L24VNZFT6,Foreign_Exchange Forward AUD NZD 20210116,JFTXFP,false,AUD,false
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,false,USD,false
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,false,USD,false
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,false,USD,false
EZ6LVPZBQWJ9,Foreign_Exchange Forward CAD USD 20210116,JFTXFP,false,USD,false
EZ6QHSN86LP4,Foreign_Exchange Forward NZD SEK 20210116,JFTXFP,false,SEK,false
EZ6QHSN86LP4,Foreign_Exchange Forward NZD SEK 20210116,JFTXFP,false,SEK,false
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,false,EUR,false
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,false,EUR,false
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,false,EUR,false
EZ6THMCSZVN6,Foreign_Exchange Forward EUR GBP 20210116,JFTXFP,false,EUR,false
EZ6TJHQW0KB5,Foreign_Exchange Forward EUR NOK 20210116,JFTXFP,false,EUR,false
EZ6TJHQW0KB5,Foreign_Exchange Forward EUR NOK 20210116,JFTXFP,false,EUR,false
EZ6TNSPF58V0,Foreign_Exchange Forward RON USD 20210116,JFTXFP,false,USD,false
EZ6TNSPF58V0,Foreign_Exchange Forward RON USD 20210116,JFTXFP,false,USD,false
EZ7022XJQ8M9,Foreign_Exchange Forward GBP MXN 20210116,JFTXFP,false,GBP,false
EZ7022XJQ8M9,Foreign_Exchange Forward GBP MXN 20210116,JFTXFP,false,GBP,false
EZ77K686BWC8,Foreign_Exchange Forward EUR RON 20210116,JFTXFP,false,EUR,false
EZ77K686BWC8,Foreign_Exchange Forward EUR RON 20210116,JFTXFP,false,EUR,false
EZ7GKF94PF44,Foreign_Exchange Forward HKD SEK 20210116,JFTXFP,false,SEK,false
EZ7GKF94PF44,Foreign_Exchange Forward HKD SEK 20210116,JFTXFP,false,SEK,false
EZ7HVP8T5CV2,Foreign_Exchange Forward CHF EUR 20210116,JFTXFP,false,EUR,false
EZ7HVP8T5CV2,Foreign_Exchange Forward CHF EUR 20210116,JFTXFP,false,EUR,false
EZ7JMG074R32,Foreign_Exchange Forward CNY JPY 20210116,JFTXFP,false,CNY,false
EZ7JMG074R32,Foreign_Exchange Forward CNY JPY 20210116,JFTXFP,false,CNY,false
EZ7K7S45JDG6,Foreign_Exchange Forward JPY ZAR 20210116,JFTXFP,false,ZAR,false
EZ7K7S45JDG6,Foreign_Exchange Forward JPY ZAR 20210116,JFTXFP,false,ZAR,false
EZ7M8KWVDJZ2,Foreign_Exchange Forward AED EUR 20210116,JFTXFP,false,EUR,false
EZ7M8KWVDJZ2,Foreign_Exchange Forward AED EUR 20210116,JFTXFP,false,EUR,false
EZ7WWVXT7KB5,Foreign_Exchange Forward EUR USD 20210116,JFTXFP,false,EUR,false
EZ7WWVXT7KB5,Foreign_Exchange Forward EUR USD 20210116,JFTXFP,false,EUR,false
EZ7WWVXT7KB5,Foreign_Exchange Forward EUR USD 20210116,JFTXFP,false,EUR,false
EZ7WWVXT7KB5,Foreign_Exchange Forward EUR USD 20210116,JFTXFP,false,EUR,false
EZ7YHLDYBSC2,Foreign_Exchange Forward CHF SEK 20210116,JFTXFP,false,CHF,false
EZ7YHLDYBSC2,Foreign_Exchange Forward CHF SEK 20210116,JFTXFP,false,CHF,false
EZ82GSNDYNM2,Foreign_Exchange Forward TRY USD 20210116,JFTXFP,false,USD,false
EZ82GSNDYNM2,Foreign_Exchange Forward TRY USD 20210116,JFTXFP,false,USD,false
EZ8712X8L8Z6,Foreign_Exchange Forward MXN USD 20210116,JFTXFP,false,USD,false
EZ8712X8L8Z6,Foreign_Exchange Forward MXN USD 20210116,JFTXFP,false,USD,false
EZ876WS0MS10,Foreign_Exchange Forward JPY USD 20210116,JFTXFP,false,USD,false
EZ876WS0MS10,Foreign_Exchange Forward JPY USD 20210116,JFTXFP,false,USD,false
EZ876WS0MS10,Foreign_Exchange Forward JPY USD 20210116,JFTXFP,false,USD,false
EZ876WS0MS10,Foreign_Exchange Forward JPY USD 20210116,JFTXFP,false,USD,false
EZ8D7V9251B1,Foreign_Exchange Forward GBP NOK 20210116,JFTXFP,false,GBP,false
EZ8D7V9251B1,Foreign_Exchange Forward GBP NOK 20210116,JFTXFP,false,GBP,false
EZ8QDT6LST56,Foreign_Exchange Forward EUR SEK 20210116,JFTXFP,false,EUR,false
EZ8QDT6LST56,Foreign_Exchange Forward EUR SEK 20210116,JFTXFP,false,EUR,false
EZ8SDH1J0JJ2,Foreign_Exchange Forward KWD USD 20210116,JFTXFP,false,USD,false
EZ8SDH1J0JJ2,Foreign_Exchange Forward KWD USD 20210116,JFTXFP,false,USD,false
EZ8SYCS33LV4,Foreign_Exchange Forward AED SEK 20210116,JFTXFP,false,SEK,false
EZ8SYCS33LV4,Foreign_Exchange Forward AED SEK 20210116,JFTXFP,false,SEK,false
EZ8T49Z7CKS7,Foreign_Exchange Forward GBP OMR 20210116,JFTXFP,false,GBP,false
EZ8T49Z7CKS7,Foreign_Exchange Forward GBP OMR 20210116,JFTXFP,false,GBP,false
EZ8V2TPFZNH4,Foreign_Exchange Forward NZD USD 20210116,JFTXFP,false,NZD,false
EZ8V2TPFZNH4,Foreign_Exchange Forward NZD USD 20210116,JFTXFP,false,NZD,false
EZ93FLFGT1Q4,Foreign_Exchange Forward CAD EUR 20210116,JFTXFP,false,EUR,false
EZ93FLFGT1Q4,Foreign_Exchange Forward CAD EUR 20210116,JFTXFP,false,EUR,false
EZ96HBD2YGP9,Foreign_Exchange Forward CZK SEK 20210116,JFTXFP,false,SEK,false
EZ96HBD2YGP9,Foreign_Exchange Forward CZK SEK 20210116,JFTXFP,false,SEK,false
EZ99M83JQPW4,Foreign_Exchange Forward EUR ILS 20210116,JFTXFP,false,EUR,false
EZ99M83JQPW4,Foreign_Exchange Forward EUR ILS 20210116,JFTXFP,false,EUR,false
EZ9B3FM231H0,Foreign_Exchange Forward BHD SEK 20210116,JFTXFP,false,SEK,false
EZ9B3FM231H0,Foreign_Exchange Forward BHD SEK 20210116,JFTXFP,false,SEK,false
EZ9B3S467791,Foreign_Exchange Forward AUD HKD 20210116,JFTXFP,false,AUD,false
EZ9B3S467791,Foreign_Exchange Forward AUD HKD 20210116,JFTXFP,false,AUD,false
EZ9C8YX0GQR6,Foreign_Exchange Forward AUD CAD 20210116,JFTXFP,false,AUD,false
EZ9C8YX0GQR6,Foreign_Exchange Forward AUD CAD 20210116,JFTXFP,false,AUD,false
EZ9CJN4P2SC0,Foreign_Exchange Forward CNY RUB 20210116,JFTXFP,false,CNY,false
EZ9CJN4P2SC0,Foreign_Exchange Forward CNY RUB 20210116,JFTXFP,false,CNY,false
EZ9FKSPQG1V1,Foreign_Exchange Forward DKK GBP 20210116,JFTXFP,false,GBP,false
EZ9FKSPQG1V1,Foreign_Exchange Forward DKK GBP 20210116,JFTXFP,false,GBP,false
EZ9GR74LDCP9,Foreign_Exchange Forward CHF GBP 20210116,JFTXFP,false,GBP,false
EZ9GR74LDCP9,Foreign_Exchange Forward CHF GBP 20210116,JFTXFP,false,GBP,false
EZ9JKR0JKVP2,Foreign_Exchange Forward NOK USD 20210116,JFTXFP,false,USD,false
EZ9JKR0JKVP2,Foreign_Exchange Forward NOK USD 20210116,JFTXFP,false,USD,false
EZ9M3LKKN729,Foreign_Exchange Forward CHF USD 20240531,JFTXFP,false,CHF,false
EZ9M3LKKN729,Foreign_Exchange Forward CHF USD 20240531,JFTXFP,false,CHF,false
EZ9M3LKKN729,Foreign_Exchange Forward CHF USD 20240531,JFTXFP,false,CHF,false
EZ9M3LKKN729,Foreign_Exchange Forward CHF USD 20240531,JFTXFP,false,CHF,false
EZ9M3LKKN729,Foreign_Exchange Forward CHF USD 20240531,JFTXFP,false,CHF,false
EZ9M3LKKN729,Foreign_Exchange Forward CHF USD 20240531,JFTXFP,false,CHF,false
EZB1L2322Q39,Foreign_Exchange Forward CAD SEK 20210116,JFTXFP,false,SEK,false
EZB1L2322Q39,Foreign_Exchange Forward CAD SEK 20210116,JFTXFP,false,SEK,false
EZB2Z368BBT5,Foreign_Exchange Forward CZK USD 20210116,JFTXFP,false,USD,false
EZB2Z368BBT5,Foreign_Exchange Forward CZK USD 20210116,JFTXFP,false,USD,false
EZB4WK2Q31N6,Foreign_Exchange Forward PLN USD 20210116,JFTXFP,false,USD,false
EZB4WK2Q31N6,Foreign_Exchange Forward PLN USD 20210116,JFTXFP,false,USD,false
EZBBCK8XHXM2,Foreign_Exchange Forward EUR HKD 20210116,JFTXFP,false,EUR,false
EZBBCK8XHXM2,Foreign_Exchange Forward EUR HKD 20210116,JFTXFP,false,EUR,false
EZBJ413T2LF2,Foreign_Exchange Forward QAR USD 20210116,JFTXFP,false,USD,false
EZBJ413T2LF2,Foreign_Exchange Forward QAR USD 20210116,JFTXFP,false,USD,false
EZBJMLQNZMD4,Foreign_Exchange Forward ILS USD 20210116,JFTXFP,false,USD,false
EZBJMLQNZMD4,Foreign_Exchange Forward ILS USD 20210116,JFTXFP,false,USD,false
EZBMQLTVLY87,Foreign_Exchange Forward QAR SEK 20210116,JFTXFP,false,SEK,false
EZBMQLTVLY87,Foreign_Exchange Forward QAR SEK 20210116,JFTXFP,false,SEK,false
EZBV01NJMP58,Foreign_Exchange Forward HKD USD 20210116,JFTXFP,false,USD,false
EZBV01NJMP58,Foreign_Exchange Forward HKD USD 20210116,JFTXFP,false,USD,false
EZBWWXS7DFZ5,Foreign_Exchange Forward CHF USD 20210116,JFTXFP,false,USD,false
EZBWWXS7DFZ5,Foreign_Exchange Forward CHF USD 20210116,JFTXFP,false,USD,false
EZBWWXS7DFZ5,Foreign_Exchange Forward CHF USD 20210116,JFTXFP,false,USD,false
EZBWWXS7DFZ5,Foreign_Exchange Forward CHF USD 20210116,JFTXFP,false,USD,false
EZDFN2LQV8G5,Foreign_Exchange Forward PLN SEK 20210116,JFTXFP,false,SEK,false
EZDFN2LQV8G5,Foreign_Exchange Forward PLN SEK 20210116,JFTXFP,false,SEK,false
EZKMWXD4FSV7,Foreign_Exchange Forward EUR QAR 20210116,JFTXFP,false,EUR,false
EZKMWXD4FSV7,Foreign_Exchange Forward EUR QAR 20210116,JFTXFP,false,EUR,false
EZLFRQ87VTG6,Foreign_Exchange Swap EUR USD 20210116,SFCXXP,false,EUR,false
EZLFRQ87VTG6,Foreign_Exchange Swap EUR USD 20210116,SFCXXP,false,EUR,false
EZNQW6NTMSW4,Foreign_Exchange Forward HUF USD 20210116,JFTXFP,false,USD,false
EZNQW6NTMSW4,Foreign_Exchange Forward HUF USD 20210116,JFTXFP,false,USD,false
EZPCT5XKW990,Foreign_Exchange Forward CZK EUR 20210116,JFTXFP,false,EUR,false
EZPCT5XKW990,Foreign_Exchange Forward CZK EUR 20210116,JFTXFP,false,EUR,false
EZPDDKZ8YMV0,Foreign_Exchange Forward SEK ZAR 20210116,JFTXFP,false,SEK,false
EZPDDKZ8YMV0,Foreign_Exchange Forward SEK ZAR 20210116,JFTXFP,false,SEK,false
EZT9F67SNFM3,EUR SWAP EONIA 3MO,SRHCSP,false,EUR,false
EZT9F67SNFM3,EUR SWAP EONIA 3MO,SRHCSP,false,EUR,false
EZV15GHWGFH1,Foreign_Exchange Forward GBP RON 20210116,JFTXFP,false,GBP,false
EZV15GHWGFH1,Foreign_Exchange Forward GBP RON 20210116,JFTXFP,false,GBP,false
EZ0LKWN8JY60,Foreign_Exchange Forward CHF USD 20250530,JFTXFP,false,CHF,false
EZ0LKWN8JY60,Foreign_Exchange Forward CHF USD 20250530,JFTXFP,false,CHF,false
EZ0LKWN8JY60,Foreign_Exchange Forward CHF USD 20250530,JFTXFP,false,CHF,false
EZ0LKWN8JY60,Foreign_Exchange Forward CHF USD 20250530,JFTXFP,false,CHF,false
EZ0LKWN8JY60,Foreign_Exchange Forward CHF USD 20250530,JFTXFP,false,CHF,false
EZ0LKWN8JY60,Foreign_Exchange Forward CHF USD 20250530,JFTXFP,false,CHF,false
EZ10CVL2ZY82,Foreign_Exchange Forward GBP HUF 20210116,JFTXFP,false,GBP,false
EZ10CVL2ZY82,Foreign_Exchange Forward GBP HUF 20210116,JFTXFP,false,GBP,false
EZ1111KJPVC6,Foreign_Exchange Forward GBP RUB 20210116,JFTXFP,false,GBP,false
EZ1111KJPVC6,Foreign_Exchange Forward GBP RUB 20210116,JFTXFP,false,GBP,false
EZ1232T2NNC3,Foreign_Exchange Forward USD ZAR 20210116,JFTXFP,false,USD,false
EZ1232T2NNC3,Foreign_Exchange Forward USD ZAR 20210116,JFTXFP,false,USD,false
EZ1425F7F244,Foreign_Exchange Forward EUR RUB 20210116,JFTXFP,false,EUR,false
EZ1425F7F244,Foreign_Exchange Forward EUR RUB 20210116,JFTXFP,false,EUR,false
EZ175705XFR2,Foreign_Exchange Forward JOD USD 20210116,JFTXFP,false,USD,false
EZ175705XFR2,Foreign_Exchange Forward JOD USD 20210116,JFTXFP,false,USD,false
EZ17BKQWR2P1,Foreign_Exchange Forward AED GBP 20210116,JFTXFP,false,GBP,false
EZ17BKQWR2P1,Foreign_Exchange Forward AED GBP 20210116,JFTXFP,false,GBP,false
EZ18T3JJN4R1,Foreign_Exchange Forward HUF SEK 20210116,JFTXFP,false,SEK,false
EZ18T3JJN4R1,Foreign_Exchange Forward HUF SEK 20210116,JFTXFP,false,SEK,false
EZ1FM6L2P013,Foreign_Exchange Forward EUR HUF 20210116,JFTXFP,false,EUR,false
EZ1FM6L2P013,Foreign_Exchange Forward EUR HUF 20210116,JFTXFP,false,EUR,false
EZ1KL0GHJ4S0,Foreign_Exchange Forward OMR SEK 20210116,JFTXFP,false,SEK,false
EZ1KL0GHJ4S0,Foreign_Exchange Forward OMR SEK 20210116,JFTXFP,false,SEK,false
CH0489392719,SHARIA CERTIFICATE REVERSE CONVERTIBLE ON EURO STOXX 50 SP 500 INDEX SMI INDEX NIKKEI 225 STOCK AVER,DEXXRS,false,USD,false
CH0489392719,SHARIA CERTIFICATE REVERSE CONVERTIBLE ON EURO STOXX 50 SP 500 INDEX SMI INDEX NIKKEI 225 STOCK AVER,DEXXRS,false,USD,false
